Game Name,Link,Image
Sea of Thieves,/sea-of-thieves-boost,/storage/uploads/game-assets/icons/8a9fa179ac.svg
Squad Busters,/squad-busters-boost,/storage/uploads/game-assets/icons/8d45c05b8e.svg
Star Wars: The Old Republic,/star-wars-the-old-republic-boost,/images/games/icons/69.svg
Summoners War,/summoners-war-boost,/storage/uploads/game-assets/icons/750c3dbade.svg
Tarisland,/tarisland-boost,/images/games/icons/45.svg
Teamfight Tactics,/teamfight-tactics-boost,/storage/uploads/game-assets/icons/53012cb07a.svg
The Elder Scrolls Online,/eso-boost,/images/games/icons/29.svg
The Finals,/the-finals-boost,/images/games/icons/76.svg
The First Descendant,/the-first-descendant-boost,/images/games/icons/61.svg
Throne and Liberty,/throne-and-liberty-boost,/images/games/icons/46.svg
Tower of Fantasy,/tower-of-fantasy-boost,/images/games/icons/41.svg
Valorant,/valorant-boost,/images/games/icons/4.svg
Warcraft Rumble,/warcraft-rumble-boost,/images/games/icons/40.svg
Warframe,/warframe-boost,/images/games/icons/62.svg
Warhammer 40000: Darktide,/warhammer-40000-darktide-boost,/storage/uploads/game-assets/icons/4a27de92b0.svg
Warhammer 40000 Space Marine 2,/warhammer-40000-space-marine-2-boost,/storage/uploads/game-assets/icons/0ae59ef454.svg
World of Tanks,/world-of-tanks-boost,/images/games/icons/20.svg
WoW Cataclysm,/wow-cataclysm-boost,/images/games/icons/38.svg
WoW Classic Era,/wow-classic-era-boost,/images/games/icons/48.svg
WoW Classic Hardcore,/wow-classic-hardcore-boost,/images/games/icons/54.svg
WoW Mists of Pandaria Classic,/wow-pandaria-classic-boost,/storage/uploads/game-assets/icons/757a35d9d9.svg
WoW Season of Discovery,/wow-season-of-discovery-boost,/images/games/icons/75.svg
Wuthering Waves,/wuthering-waves-boost,/storage/uploads/game-assets/icons/373961052d.svg
Zenless Zone Zero,/zenless-zone-zero-boost,/storage/uploads/game-assets/icons/19fa224114.svg
